bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,available_copies,publication_date,publisher,subject
1255,The Naked and the Dead,Norman Mailer,3.94,312265050,9.78031E+12,eng,721,21004,620,8/28/2000,Picador,"{''American'',''Fiction''}"
1265,Hallowe'en Party (Hercule Poirot  #39),Agatha Christie,3.66,7120680,9.78001E+12,eng,336,20656,1246,09/03/01,Harper,"{''Novela'',''Mystery'',''Parties''}"
1321,Confederates in the Attic: Dispatches from the Unfinished Civil War,Tony Horwitz,4.09,067975833X,9.78068E+12,eng,406,19207,1596,2/22/1999,Vintage,{'Travel'}
1274,The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency #8),Alexander McCall Smith,4.07,375422730,9.78038E+12,eng,213,20290,974,4/17/2007,Pantheon Books,{}
1323,Family Matters,Rohinton Mistry,4.02,037570342X,9.78038E+12,eng,500,19200,785,11/18/2003,Vintage,"{''Stepfamilies'',''Stepfamilies''}"
1324,Chesapeake,James A. Michener,4.18,812970438,9.78081E+12,eng,1024,19174,664,09/09/03,Dial Press,{'Fiction'}
1325,Five on a Treasure Island (Famous Five  #1),Enid Blyton,4.09,340796146,9.78034E+12,eng,256,19173,658,6/14/2001,Hodder,{'adventure'}
1276,The Brothers Lionheart,Astrid Lindgren/Ilon Wikland/Jill M. Morgan,4.36,1930900244,9.78193E+12,eng,231,20235,453,12/31/2004,Purple House Press,{'Death'}
1281,Velvet Elvis: Repainting the Christian Faith,Rob Bell,3.78,031026345X,9.78031E+12,eng,194,20131,848,7/31/2005,Zondervan Publishing Company,{'Nonfiction'}
1290,Magician: Apprentice Volume 1  (Raymond E. Feist's Magician: Apprentice #1),Raymond E. Feist/Michael Avon Oeming/Bryan J.L. Glass/Ryan Stegman,4.45,785127224,9.78079E+12,eng,168,19895,114,5/30/2007,Marvel Comics Group,"{''Fantasy'',''Soldiers''}"
1329,The Sea Wolf,Jack London,4.04,1598184318,9.7816E+12,eng,425,19091,851,06/01/05,Alan Rodgers Books,{'Fiction'}
1330,Mother of Pearl,Melinda Haynes,3.69,671774670,9.78067E+12,eng,465,19073,427,06/01/00,Washington Square Press,{}
1331,Blood Canticle (The Vampire Chronicles #10),Anne Rice,3.72,99460173,9.7801E+12,eng,400,19036,325,11/04/04,Arrow,{'Ficción'}
1332,Wideacre  (The Wideacre Trilogy  #1),Philippa Gregory,3.3,743249291,9.78074E+12,eng,656,18944,1547,07/02/03,Washington Square Press,{'Women'}
1333,Democracy in America,Alexis de Tocqueville/Isaac Kramnick/Gerald Bevan,4.02,140447601,9.78014E+12,eng,992,18925,523,4/24/2003,Penguin Classics,"{''Essays'',''HISTORY'',''History''}"
1295,If Beale Street Could Talk,James Baldwin,4.23,307275930,9.78031E+12,eng,197,19731,2158,10/10/06,Vintage,{'Prisons'}
1335,Heat,Mike Lupica,3.98,142407577,9.78014E+12,eng,220,18883,1417,03/01/07,Puffin Books,"{''Brothers'',''Fiction'',''Cubans'',''Cubans''}"
1336,Collected Fictions,Jorge Luis Borges/Andrew Hurley,4.58,140286802,9.78014E+12,eng,565,18874,791,9/30/1999,Penguin Classics Deluxe Edition,{}
1296,Hawksong (The Kiesha'ra  #1),Amelia Atwater-Rhodes,4.15,044023803X,9.78044E+12,eng,243,19722,829,9/28/2004,Laurel Leaf,"{''Fiction'',''Fiction'',''Supernatural'',''Folklore''}"
1301,Shattered,Dean Koontz,3.9,425099334,9.78043E+12,eng,289,19637,228,2/15/1985,Berkley,{}
1339,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.08,142003344,9.78014E+12,eng,528,18793,721,8/26/2003,Penguin Books,"{''Sociology'',''Environment'',''Nonfiction'',''Nonfiction''}"
1340,Magic's Price (Valdemar: Last Herald-Mage #3),Mercedes Lackey,4.27,886774268,9.78089E+12,eng,351,18764,320,07/03/90,DAW Books Inc,{}
1341,Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.56,074754624X,9.78075E+12,eng,636,18754,906,07/08/00,Bloomsbury,"{''Sorcellerie'',''Ficción'',''Hechiceros'',''Magi'',''Ficción'',''Friendship'',''Magi'',''Junge'',''Magic'',''Schools'',''School'',''Jugendbuch'',''Drama'',''magier'',''Family'',''Magi'',''orphans'',''Wizards'',''Magos'',''Schools''}"
1302,E.E. Cummings: Complete Poems 1904-1962 (Revised  Corrected  and Expanded Edition),E.E. Cummings/George J. Firmage,4.35,871401525,9.78087E+12,eng,1136,19542,184,4/17/1994,Liveright/W.W. Norton & Company  Inc.,{}
1343,Homecoming (Tillerman Cycle  #1),Cynthia Voigt,3.94,689851324,9.78069E+12,eng,416,18737,1081,08/01/02,Simon Pulse,"{''Grandmothers'',''Supervivencia''}"
1344,Five Children and It (Five Children #1),E. Nesbit,3.88,140367357,9.78014E+12,eng,237,18723,722,12/01/96,Puffin,"{''Family'',''Fantasy'',''Amulets'',''Wishes'',''Fiction'',''Fées'',''Souhaits'',''Fiction'',''Souhaits''}"
1345,The Copper Beech,Maeve Binchy,3.91,752876813,9.78075E+12,eng,407,18720,386,06/01/05,Orion,{'Fiction'}
1346,The Call of the Wild  White Fang and Other Stories,Jack London,3.99,192835149,9.78019E+12,eng,400,18720,192,8/20/1998,Oxford University Press  USA,"{''Wolfdogs'',''Fiction'',''Fiction'',''Wolfdogs''}"
1347,Out,Natsuo Kirino/Stephen Snyder,3.92,1400078377,9.7814E+12,eng,400,18671,1894,01/04/05,Vintage,{'Fiction'}
1348,A River Runs Through it and Other Stories,Norman Maclean/Annie Proulx,4.18,226500667,9.78023E+12,eng,217,18634,1147,10/01/01,University of Chicago Press,"{''Presbyterians'',''Fiction'',''Fiction'',''Lumbering'',''Presbyterians''}"
1349,Love Bites (Argeneau #2),Lynsay Sands,4.13,505525534,9.78051E+12,eng,373,18631,564,01/06/04,Love Spell,{'Vampires'}
1350,The Design of Everyday Things,Donald A. Norman,4.17,465067107,9.78047E+12,eng,240,18602,1379,9/19/2002,Basic Books,"{''Retailing'',''Retailing'',''Ergonomie'',''Psychology''}"
1303,Prince of the Blood (Krondor's Sons  #1),Raymond E. Feist,3.98,553588117,9.78055E+12,eng,429,19537,171,12/18/2007,BantamSpectra,"{''Twins'',''Fiction''}"
1352,Into the Labyrinth (The Death Gate Cycle  #6),Margaret Weis/Tracy Hickman,4.11,553567713,9.78055E+12,eng,441,18543,124,07/01/94,Spectra Books,{}
1353,The Lake of Souls (Cirque du Freak #10),Darren Shan,4.18,316016659,9.78032E+12,eng,272,18536,350,09/06/06,Little  Brown Books for Young Readers,{}
1355,Remember (Redemption  #2),Karen Kingsbury/Gary Smalley,4.43,842356290,9.78084E+12,eng,432,18445,388,01/01/03,Tyndale House Publishers,{}
1356,Lullabies for Little Criminals,Heather O'Neill,3.98,60875070,9.78006E+12,eng,330,18419,1371,10/17/2006,Harper Perennial,{}
1357,Half Asleep in Frog Pajamas,Tom Robbins,3.74,184243036X,9.78184E+12,eng,389,18417,542,01/05/02,No Exit Press,{}
1358,The Cement Garden,Ian McEwan,3.54,99468387,9.7801E+12,eng,144,18376,1022,08/05/04,Vintage,"{''Ficción'',''Ficción'',''Dood''}"
1359,Brief Interviews with Hideous Men,David Foster Wallace,3.86,034911188X,9.78035E+12,eng,273,18335,1155,04/01/00,Abacus,{}
1360,Kitty Goes to Washington (Kitty Norville  #2),Carrie Vaughn,3.87,446616427,9.78045E+12,eng,342,18327,665,07/01/06,Grand Central Publishing,{}
1361,Death Note  Vol. 7: Zero (Death Note  #7),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,4.43,1421506289,9.78142E+12,eng,211,18321,586,09/05/06,VIZ Media LLC,"{''Death'',''Notebooks'',''Criminals''}"
1305,Lolita,Vladimir Nabokov/John Ray Jr.,3.89,679723161,9.78068E+12,eng,317,19513,2191,6/13/1997,Vintage International,"{''Stieftochter'',''Kommentar'',''novela'',''Stepdaughters'',''Filles'',''Kommentar'',''Stiefvater''}"
1307,Lady Friday (The Keys to the Kingdom  #5),Garth Nix,3.92,439700884,9.78044E+12,eng,320,19436,267,03/01/07,Scholastic,"{''Fantasy'',''Avarice''}"
1312,How to Be Popular,Meg Cabot,3.55,60880120,9.78006E+12,eng,288,19363,876,8/31/2006,HarperTempest,"{''Schools'',''Friendship''}"
1315,The Sea,John Banville,3.51,1400097029,9.7814E+12,eng,195,19308,1803,8/15/2006,Vintage,"{''Veufs'',''Widowers'',''Colonies''}"
1317,You Know You Love Me (Gossip Girl  #2),Cecily von Ziegesar,3.52,316911488,9.78032E+12,en-US,240,19261,648,09/01/02,Poppy,"{''Schools'',''Teenagers'',''Teenagers''}"
1318,When We Were Orphans,Kazuo Ishiguro,3.49,571225403,9.78057E+12,eng,320,19252,1673,12/01/07,Faber & Faber,"{''Parents'',''Muerte'',''Literature'',''Orphelins'',''Muerte'',''Detectives''}"
1320,Jesus Freaks: Stories of Those Who Stood for Jesus  the Ultimate Jesus Freaks (Jesus Freaks  #1),D.C. Talk/The Voice of the Martyrs,4.21,1577780728,9.78158E+12,eng,383,19217,271,1/15/1999,Albury Publishing,{}
1322,El coronel no tiene quien le escriba,Gabriel García Márquez,3.75,307350436,9.78031E+12,spa,104,19205,711,02/07/06,Plaza & Janés,"{''Readers'',''Novela'',''Loneliness''}"
1370,Glamorama,Bret Easton Ellis,3.46,375703845,9.78038E+12,eng,546,18181,669,3/21/2000,Vintage,"{''Terrorism'',''Fiction'',''Fiction''}"
1326,Beyond Reach (Grant County  #6),Karin Slaughter,4.19,038533947X,9.78039E+12,eng,404,19136,979,7/31/2007,Delacorte Press,{}
1372,The Teeth of the Tiger (Jack Ryan Universe  #12),Tom Clancy,3.64,141004924,9.78014E+12,eng,625,18128,467,8/26/2004,Penguin Books Ltd.,{}
1327,An Instance of the Fingerpost,Iain Pears,3.94,1573227951,9.78157E+12,eng,691,19134,1081,04/01/00,Riverhead Books,"{''Religion'',''Religion''}"
1328,The Tiger Rising,Kate DiCamillo,3.82,763618985,9.78076E+12,eng,128,19133,2279,07/01/02,Candlewick Press,"{''Animals'',''Tiger''}"
1334,Plan B: Further Thoughts on Faith,Anne Lamott,4.05,1594481571,9.78159E+12,eng,352,18922,865,3/28/2006,Riverhead Books,{'Religion'}
1337,Eyes of Prey (Lucas Davenport  #3),John Sandford,4.18,425214435,9.78043E+12,eng,358,18802,519,03/06/07,G.P. Putnam's Sons,{}
1338,Fables  Vol. 8: Wolves,Bill Willingham/Mark Buckingham/Steve Leialoha/Shawn McManus/Andrew Pepoy,4.27,1401210015,9.7814E+12,eng,160,18799,568,12/20/2006,Vertigo,{}
1342,The Face,Dean Koontz,3.71,553584480,9.78055E+12,eng,649,18747,559,4/27/2004,Bantam,{}
1379,Amerika,Franz Kafka/Willa Muir/Edwin Muir/Klaus Mann/E.L. Doctorow,3.75,805210644,9.78081E+12,eng,336,17981,522,07/02/96,Schocken,{'Fiction'}
1380,Wayside School Gets A Little Stranger (Wayside School  #3),Louis Sachar,4.19,747569118,9.78075E+12,eng,176,17980,416,04/01/04,Bloomsbury U.S.A. Children's Books,{'Fiction'}
1351,A Caribbean Mystery (Miss Marple  #10),Agatha Christie,3.8,451199928,9.78045E+12,eng,224,18590,770,03/01/00,Signet,"{''Cruise'',''Amateur'',''Classic'',''Cruise'',''Travel''}"
1354,By the Sword (Valdemar),Mercedes Lackey,4.25,886774632,9.78089E+12,eng,492,18531,249,02/05/91,DAW,{'Valdemar'}
1362,Death Note  Vol. 6: Give-and-Take (Death Note  #6),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,4.39,1421506270,9.78142E+12,eng,215,18291,491,07/05/06,VIZ Media LLC,"{''Students'',''Fiction'',''Death'',''Death'',''Students''}"
1363,Identity Crisis,Brad Meltzer/Rags Morales/Michael Bair/Joss Whedon,4.04,1401204589,9.7814E+12,eng,288,18289,614,8/16/2006,DC Comics,{'Murder'}
1385,City of the Beasts (Eagle and Jaguar  #1),Isabel Allende/Margaret Sayers Peden,3.71,60535032,9.78006E+12,eng,408,17962,778,4/27/2004,Rayo,"{''Teenagers'',''Fiction'',''Grossmutter''}"
1386,One Door Away from Heaven,Dean Koontz,3.97,553582755,9.78055E+12,eng,681,17959,555,10/29/2002,Bantam,{'Fiction'}
1364,Where I'm Calling From: New and Selected Stories,Raymond Carver,4.42,679722319,9.78068E+12,eng,544,18280,772,09/12/00,Vintage Contemporaries,{}
1388,Comfort Me with Apples: More Adventures at the Table,Ruth Reichl,4.04,375758739,9.78038E+12,eng,302,17939,947,04/09/02,Random House Trade,"{''Cookery'',''Cooking'',''Nonfiction''}"
1389,The Abyss,Orson Scott Card/James Francis Cameron,4.07,99690608,9.7801E+12,eng,363,17911,111,10/05/89,Legend,{'Fiction'}
1390,Under the Volcano,Malcolm Lowry,3.79,60955228,9.78006E+12,eng,397,17894,837,4/26/2000,Harper Perennial,"{''British'',''Fiction'',''Festivals''}"
1392,You're the One That I Want (Gossip Girl  #6),Cecily von Ziegesar,3.71,316735167,9.78032E+12,eng,224,17875,204,10/06/04,Little  Brown Young Readers,"{''Richesse'',''Fiction'',''Schools''}"
1393,Of Love and Shadows,Isabel Allende/Margaret Sayers Peden,3.97,553383833,9.78055E+12,eng,304,17808,403,8/30/2005,Dial Press Trade Paperback,"{''Politicians'',''Politicians'',''Journalists''}"
1394,King Henry IV  Part 1,William Shakespeare/David Scott Kastan,3.83,1904271359,9.7819E+12,eng,398,17782,493,11/07/02,Bloomsbury Arden Shakespeare,"{''Histoire'',''Quartos'',''Drama'',''Plays'',''Zeithintergrund'',''Quartos''}"
1395,A Bite to Remember (Argeneau #5),Lynsay Sands,4.24,006077407X,9.78006E+12,eng,362,17710,393,6/27/2006,Avon,{}
1396,Pilgrim at Tinker Creek,Annie Dillard,4.11,72434171,9.78007E+12,eng,288,17681,1596,06/01/00,Harper Perennial,{}
1397,Anyone But You,Jennifer Crusie,3.8,037377138X,9.78037E+12,eng,283,17677,872,11/21/2006,HQN Books,{'Fiction'}
1398,Idoru (Bridge #2),William Gibson,3.8,425190455,9.78043E+12,eng,308,17632,388,01/07/03,Berkley Trade,"{''Literature'',''Novela'',''Novela'',''Amistad'',''Literature''}"
1399,The Glass Lake,Maeve Binchy,3.93,752876872,9.78075E+12,eng,704,17624,670,6/29/2005,The Orion Publishing Group Ltd,{}
1400,Outcast of Redwall (Redwall  #8),Brian Jacques,3.92,142401420,9.78014E+12,en-US,368,17597,188,5/24/2004,Firebird,"{''Juvenile'',''Ferrets'',''Ferrets'',''Mice'',''Ferrets'',''Mice''}"
1365,Storm of the Century,Stephen King,3.92,067103264X,9.78067E+12,eng,376,18255,266,02/01/99,Pocket,"{''Fiction'',''Fiction''}"
1366,Iceberg (Dirk Pitt  #3),Clive Cussler,3.85,425197387,9.78043E+12,eng,340,18244,381,03/02/04,Berkley Books,{}
1404,The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,3.96,143036491,9.78014E+12,eng,546,17480,1459,10/04/05,Penguin Books,"{''Médecine'',''MEDICAL'',''Epidemics'',''Epidemieën'',''Influensa'',''History'',''Influenza''}"
1367,Red Prophet (Tales of Alvin Maker  #2),Orson Scott Card,3.79,812524268,9.78081E+12,en-US,311,18228,427,7/15/1992,Tor Fantasy,"{''Fiction'',''Fiction''}"
1406,A Single Man,Christopher Isherwood,4.1,816638624,9.78082E+12,eng,192,17451,1029,3/20/2001,Univ Of Minnesota Press,{'Skönlitteratur'}
1407,The Complete Clive Barker's The Great And Secret Show,Chris Ryall/Gabriel Rodríguez/Clive Barker,4.23,1600100295,9.7816E+12,eng,136,17422,67,11/08/06,IDW Publishing,{}
1368,Virtual Light (Bridge  #1),William Gibson,3.85,140157727,9.78014E+12,eng,304,18228,358,10/26/1996,Penguin Books Ltd,{'Fiction'}
1409,Going Solo (Roald Dahl's Autobiography  #2),Roald Dahl/Quentin Blake,4.08,141311428,9.78014E+12,eng,209,17327,992,04/05/01,Puffin,{'Biography'}
1410,From the Earth to the Moon (Extraordinary Voyages  #4),Jules Verne,3.78,1598184547,9.7816E+12,eng,136,17325,421,10/01/06,Aegypan,
1411,The Legend of Huma (Dragonlance: Heroes  #1),Richard A. Knaak,4.03,078693137X,9.78079E+12,en-US,379,17274,113,01/01/04,Wizards of the Coast,{}
1412,Lord John and the Brotherhood of the Blade  (Lord John Grey  #2),Diana Gabaldon,3.91,385337493,9.78039E+12,eng,494,17271,776,8/28/2007,Delacorte Press,{'Soldiers'}
1413,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9.78035E+12,eng,304,17232,649,6/17/1997,Del Rey,{}
1414,The Giraffe and the Pelly and Me,Roald Dahl/Quentin Blake,3.82,140568190,9.78014E+12,eng,32,17232,713,11/29/2001,Puffin,"{''Confectionery'',''Confectionery'',''Giraffe'',''Giraffe''}"
1415,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,4.12,446698229,9.78045E+12,eng,481,17227,662,10/01/06,Warner Books (NY),{'Presidents'}
1416,Rose Daughter,Robin McKinley,3.77,441005837,9.78044E+12,eng,304,17168,997,12/01/98,Ace,{}
1369,Stranger than Fiction,Chuck Palahniuk,3.57,385722222,9.78039E+12,eng,233,18210,629,05/10/05,Anchor,{'Jews'}
1418,Digging to America,Anne Tyler,3.55,307263940,9.78031E+12,eng,277,17155,1841,05/02/06,Alfred A. Knopf,"{''Akkulturation'',''Famille'',''Adoption'',''Novela'',''Friendship'',''Immigrantes'',''Widows''}"
1371,Magic's Promise (Valdemar: Last Herald-Mage #2),Mercedes Lackey,4.21,886774012,9.78089E+12,eng,320,18141,278,01/02/90,DAW Books Inc,"{''Fiction'',''Fiction''}"
1373,The Winter's Tale,William Shakespeare/Susan Snyder/Deborah T. Curren-Aquino,3.7,521293731,9.78052E+12,eng,279,18126,587,03/01/07,Cambridge University Press,"{''Castaways'',''Aufführung'',''Jealousy'',''Specimens''}"
1421,Cash,Johnny Cash/Patrick   Carr,4.07,60727535,9.78006E+12,eng,310,17107,566,10/07/03,HarperOne,{'Biography'}
1422,The Speed of Trust: The One Thing that Changes Everything,Stephen M.R. Covey,3.99,074329730X,9.78074E+12,eng,384,17073,528,10/17/2006,Free Press,{}
1374,Waiting for the Barbarians,J.M. Coetzee,3.94,140283358,9.78014E+12,eng,152,18097,1029,10/01/99,Penguin Books,"{''Toxicomane'',''Allegories'',''Allegories'',''Migration'',''Immigrants'',''Histoire'',''Immigré'',''Allegorías''}"
1375,Cry to Heaven,Anne Rice,3.85,345396936,9.78035E+12,eng,566,18067,558,04/01/95,Ballantine Books,"{''Fiction'',''Castrati'',''Castrati''}"
1376,You've Been Warned,James Patterson/Howard Roughan,3.53,316014508,9.78032E+12,eng,374,18058,1519,09/10/07,Little Brown and Company,"{''Photographers'',''Nannies'',''Nightmares''}"
1377,How the García Girls Lost Their Accents,Julia Alvarez,3.63,452287073,9.78045E+12,eng,304,18032,1144,10/04/05,Plume,{}
1378,On the Street Where You Live,Mary Higgins Clark/Karin Dufner,3.87,671004530,9.78067E+12,eng,387,17988,569,04/01/02,Pocket Books,{'Fiction'}
1381,The Brooklyn Follies,Paul Auster,3.84,312426232,9.78031E+12,eng,306,17977,1157,10/17/2006,Picador,"{''Fiction'',''Autobiography''}"
1382,The Heart of a Woman,Maya Angelou,4.2,375500723,9.78038E+12,eng,288,17966,437,5/17/1997,Random House,{'Biography'}
1430,No god but God: The Origins  Evolution and Future of Islam,Reza Aslan,4.12,812971892,9.78081E+12,eng,310,16918,1107,01/10/06,Random House Trade,"{''Histoire'',''Nonfiction'',''Nonfiction''}"
1383,Red Harvest,Dashiell Hammett,3.97,752852612,9.78075E+12,eng,224,17966,870,05/01/03,Orion,
1432,The Dance of Anger,Harriet Lerner,4.06,006074104X,9.78006E+12,eng,239,16897,619,05/03/05,William Morrow & Company,"{''Colère'',''Colère'',''Nonfiction'',''Women'',''Colère'',''Woede'',''Vrouwen''}"
1384,A Complicated Kindness,Miriam Toews,3.65,1582433224,9.78158E+12,eng,253,17963,1023,8/17/2005,Counterpoint LLC,"{''Fiction'',''Mennonites''}"
1434,The Beauty Myth,Naomi Wolf,3.89,60512180,9.78006E+12,eng,368,16760,909,9/24/2002,Harper Perennial,"{''Femininity'',''Socialization'',''Socialization'',''Nonfiction''}"
1435,A Ring of Endless Light (Austin Family  #4),Madeleine L'Engle,4.15,440910811,9.78044E+12,eng,332,16755,620,09/01/95,Bantam Doubleday Dell Publishing Group,{'Death'}
1436,The Fortress of Solitude,Jonathan Lethem,3.88,571219357,9.78057E+12,eng,528,16714,1010,01/06/05,Faber and Faber,"{''Fiction'',''Bildungsromans''}"
1387,Bite Me If You Can (Argeneau #6),Lynsay Sands,4.27,60774126,9.78006E+12,eng,384,17950,465,1/30/2007,Avon,{'Fiction'}
1391,Jailbird,Kurt Vonnegut Jr.,3.82,385333900,9.78039E+12,eng,310,17881,593,01/12/99,Dial Press Trade Paperback,{}
1402,Deerskin,Robin McKinley,3.89,441012396,9.78044E+12,en-US,384,17485,1021,05/01/05,Ace Books,"{''Fiction'',''Princesses'',''Forests''}"
1403,Silence,Shūsaku Endō/William Johnston,4.08,800871863,9.7808E+12,eng,201,17485,2100,01/01/99,Taplinger Publishing,"{''Persecution'',''Christians''}"
1405,Cities of the Plain (The Border Trilogy  #3),Cormac McCarthy,4.09,679747192,9.78068E+12,eng,292,17475,946,5/25/1999,Vintage,"{''Fiction'',''Fiction''}"
1408,All I Really Need to Know I Learned in Kindergarten,Robert Fulghum,4.03,034546639X,9.78035E+12,eng,240,17354,650,05/04/04,Ballantine Books,{'Life'}
1442,Faking It (Dempseys  #2),Jennifer Crusie,3.92,312932782,9.78031E+12,eng,448,16644,665,07/11/04,St. Martin's Paperbacks,
1443,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,9.78014E+12,eng,838,16643,1851,5/31/2004,Penguin Classics,"{''Youth'',''Adulterio'',''Fiction'',''Russia'',''morals'',''marriage''}"
1417,Skellig (Skellig  #1),David Almond,3.8,440229081,9.78044E+12,eng,208,17160,1782,09/11/01,Laurel Leaf,"{''Angels'',''Family'',''Strangers'',''Strangers'',''Fiction''}"
1419,A Case of Need,Jeffery Hudson/Michael Crichton,3.72,451210638,9.78045E+12,eng,416,17135,654,08/05/03,Signet,"{''obstetrics'',''investigation'',''Médicos'',''physicians'',''abortion'',''murder'',''crime''}"
1446,The Sicilian,Mario Puzo,3.97,345441702,9.78035E+12,eng,416,16557,502,05/01/01,Ballantine Books,"{''Ficción'',''Ficción'',''Ficción''}"
1447,Herzog,Saul Bellow/Philip Roth,3.78,142437298,9.78014E+12,eng,371,16550,813,2/25/2003,Penguin Classics,{}
1448,How to Read Literature Like a Professor,Thomas C. Foster,3.65,006000942X,9.78006E+12,eng,314,16550,1826,11/14/2014,Harper Perennial,"{''Literatur'',''Literatur'',''Literatur''}"
1420,Touching Darkness (Midnighters  #2),Scott Westerfeld,3.89,60519568,9.78006E+12,eng,439,17135,675,03/01/06,Harper Teen,{}
1450,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,4.29,385495323,9.78039E+12,eng,412,16531,977,8/29/2000,Anchor,"{''Décodeur'',''Geheimschrift'',''Communications'',''Histoire'',''Chiffrierung'',''Communications'',''Dechiffrierung''}"
1451,Accelerando,Charles Stross,3.88,441014151,9.78044E+12,eng,415,16527,971,07/01/06,Ace Books,{}
1452,The Valkyries,Paulo Coelho/Alan R. Clarke,3.31,722533942,9.78072E+12,eng,243,16483,685,09/06/99,HarperTorch (an imprint of HarperCollins Publishers),{'Angels'}
1453,All I Want is Everything (Gossip Girl  #3),Cecily von Ziegesar,3.55,316912123,9.78032E+12,eng,240,16452,412,05/07/03,Poppy,"{''Fiction'',''Teenagers'',''Fiction'',''Teenagers'',''Schools'',''Schools''}"
1454,An Acceptable Time (Time Quintet  #5),Madeleine L'Engle,3.82,440208149,9.78044E+12,eng,343,16434,639,12/01/90,Laurel Leaf Books,{'Love'}
1455,Body Surfing,Anita Shreve,3.32,316059854,9.78032E+12,eng,291,16371,1538,4/24/2007,Little  Brown and Company,{}
1456,The Castle of Otranto,Horace Walpole,3.18,192834401,9.78019E+12,eng,125,16370,1211,7/16/1998,Oxford University Press,"{''Fiction'',''Vampires'',''Fiction''}"
1457,Spook Country (Blue Ant  #2),William Gibson,3.69,399154302,9.7804E+12,eng,371,16342,1258,08/07/07,Putnam Adult,"{''Fiction'',''Novela'',''Fiction''}"
1458,Forever Peace (The Forever War  #2),Joe Haldeman,3.74,441005667,9.78044E+12,eng,351,16338,422,10/01/98,Ace Books,{}
1423,Child of the Prophecy (Sevenwaters  #3),Juliet Marillier,4.12,765345013,9.78077E+12,eng,596,17071,708,6/16/2003,Tor Books,"{''Magic'',''Fiction''}"
1460,Ronia  the Robber's Daughter,Astrid Lindgren/Patricia Crampton,4.3,140317201,9.78014E+12,eng,176,16327,444,02/05/85,Puffin Books,"{''Magic'',''Thieves'',''Thieves''}"
1424,Icebound,David Axton/Dean Koontz,3.76,553582909,9.78055E+12,eng,408,17062,358,09/05/00,Bantam,{'Scientists'}
1425,The Dogs of Riga (Kurt Wallander  #2),Henning Mankell/Laurie Thompson,3.72,1400031524,9.7814E+12,eng,326,17060,1016,4/13/2004,Vintage Crime/Black Lizard,"{''Fiction'',''Police'',''Letland''}"
1426,Paddy Clarke Ha Ha Ha,Roddy Doyle,3.76,2264022442,9.78226E+12,eng,307,17042,586,06/04/98,Editions 10/18,"{''Boys'',''Friendship'',''Literature''}"
1464,The Seventh Gate (The Death Gate Cycle  #7),Margaret Weis/Tracy Hickman,4.11,055357325X,9.78055E+12,eng,317,16304,148,12/01/95,Spectra,"{''Fiction'',''Fantasy''}"
1427,Look to Windward (Culture  #7),Iain M. Banks,4.2,743421922,9.78074E+12,eng,496,17025,436,11/01/02,Pocket Books/Simon & Schuster (NY),"{''Revenge'',''Utopies'',''Revenge''}"
1429,Death Note  Vol. 8: Target (Death Note  #8),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,4.26,1421506297,9.78142E+12,eng,201,16983,428,11/07/06,VIZ Media LLC,"{''horror'',''Students'',''Students'',''comics'',''Cartoons'',''antihero'',''manga'',''Detectives'',''comics'',''Cartoons''}"
1431,I Can Read With My Eyes Shut!,Dr. Seuss,4.2,7158513,9.78001E+12,eng,48,16917,444,05/06/03,HarperCollinsChildren’sBooks,"{''Books'',''Alphabet''}"
1433,I Don't Know How She Does It (Kate Reddy  #1),Allison Pearson,3.33,375713751,9.78038E+12,eng,368,16763,1420,8/26/2003,Anchor Books,{'Fiction'}
1469,The Feast of All Saints,Anne Rice,3.85,345376048,9.78035E+12,en-US,570,16178,337,1/28/1992,Ballantine Books,{'Fiction'}
1437,Meditations on First Philosophy,René Descartes/Donald A. Cress,3.71,872201929,9.78087E+12,eng,59,16700,353,10/01/93,Hackett Publishing Company  Inc.,"{''Methodology'',''God'',''Existence''}"
1471,The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life,Laurie Notaro,3.88,375760911,9.78038E+12,en-GB,225,16133,1099,07/02/02,Villard,{}
1472,Baudolino,Umberto Eco/William Weaver/R.C.S. Libri,3.74,156029065,9.78016E+12,eng,527,16116,698,10/06/03,Harcourt,"{''Mord'',''Mord''}"
1438,In Harm's Way: The Sinking of the USS Indianapolis and the Extraordinary Story of Its Survivors,Doug Stanton,4.29,805073663,9.78081E+12,eng,339,16684,892,05/01/03,Owl Books,"{''Überlebender'',''American'',''Naufrages'',''History'',''Kriegsverlust''}"
1439,The Fairy Godmother (Five Hundred Kingdoms  #1),Mercedes Lackey,3.97,373802455,9.78037E+12,eng,479,15813,871,10/25/2004,Luna Books,{}
