bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,subject
333,The Woman in White,Wilkie Collins/Matthew Sweet,4,141439610,9.78E+12,eng,672,108060,5168,2/27/2003,Penguin Classics,"{'general', 'England', 'Literature'}"
334,Blindness,José Saramago/Giovanni Pontiero,4.11,156007754,9.78E+12,eng,326,107455,7778,10/04/99,Mariner Books,"{'Dystopian', 'Portugal', 'Ceguera', 'Epidemics', 'Blindness', 'Ficción', 'Psychology', 'Ceguera', 'Survival'}"
335,Journey to the Center of the Earth (Extraordinary Voyages  #3),Jules Verne,3.86,553213970,9.78E+12,eng,240,107189,2510,4/25/2006,Bantam,"{'Frans', 'Volcanoes', 'Patients', 'Geology'}"
336,A Crown of Swords (The Wheel of Time  #7),Robert Jordan,4.04,812550285,9.78E+12,eng,880,106712,1604,11/15/1997,Tor Books,"{'Magic', 'Kidnapping', 'Fiction', 'Kidnapping'}"
337,Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Richard P. Feynman,4.28,393316041,9.78E+12,eng,391,106526,3685,04/12/97,W. W. Norton & Company,"{'Autobiografie', 'Anecdotes', 'Music', 'Samba', 'Biography', 'Autobiografie', 'Autobiografie', 'Physiciens', 'Physicists', 'Biography'}"
338,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.61,081297106X,9.78E+12,eng,356,106493,6561,12/30/2003,Random House Trade Paperbacks,"{'Mujeres', 'Mujeres', 'Enseñanza', 'Leesgezelschappen', 'Nonfiction', 'Literature', 'Sociology', 'Leesgezelschappen', 'Biographies', 'Literature', 'Biografía'}"
339,Lover Revealed (Black Dagger Brotherhood  #4),J.R. Ward,4.3,451412354,9.78E+12,eng,480,106469,3691,03/06/07,Onyx,"{'Vampires', 'Fiction'}"
340,A Breath of Snow and Ashes (Outlander  #6),Diana Gabaldon,4.44,385340397,9.78E+12,eng,980,105950,3992,8/29/2006,Delta,"{'Romance', 'FICTION', 'Fiction', 'Fiction'}"
341,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,3.99,142000280,9.78E+12,en-GB,267,105507,3838,12/31/2002,Penguin Books,"{'Tijdmanagement', 'Selbstmanagement', 'Tijdmanagement'}"
342,Far From the Madding Crowd,Thomas Hardy/Rosemarie Morgan/Shannon Russell,3.94,141439653,9.78E+12,eng,433,104912,3811,2/27/2003,Penguin Books,"{'Romance', 'Fiction'}"
343,Seven Up (Stephanie Plum  #7),Janet Evanovich,4.16,312980140,9.78E+12,en-US,337,103618,1820,6/17/2002,St. Martin's Press,{'Fiction'}
344,The Big Sleep (Philip Marlowe  #1),Raymond Chandler,4.01,394758285,9.78E+12,eng,231,103400,4076,07/12/88,Vintage Crime,"{'Fiction', 'Fiction'}"
345,School's Out—Forever (Maximum Ride  #2),James Patterson,4.15,316155594,9.78E+12,eng,409,103221,2689,5/23/2006,Little  Brown and Company,{}
346,The Murder of Roger Ackroyd (Hercule Poirot  #4),Agatha Christie,4.24,1579126278,9.78E+12,eng,288,103149,5659,09/01/06,Black Dog & Leventhal Publishers,"{'Asesinato', 'Fiction', 'Ficción', 'mystery'}"
347,Vanity Fair,William Makepeace Thackeray/John Carey,3.79,141439831,9.78E+12,eng,867,102877,2286,1/30/2003,Penguin Books,"{'Fiction', 'British'}"
348,White Teeth,Zadie Smith,3.77,375703861,9.78E+12,eng,448,102370,5677,06/12/01,Vintage,{'Multiculturalism'}
349,Hard Eight (Stephanie Plum  #8),Janet Evanovich/Lorelei King,4.17,312983867,9.78E+12,eng,326,101730,1878,6/16/2003,St. Martin's Press,{}
350,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78E+12,eng,1728,101233,1550,9/25/2012,Ballantine Books,{}
351,Alanna: The First Adventure (Song of the Lioness  #1),Tamora Pierce,4.26,689878559,9.78E+12,eng,274,101059,3815,01/01/05,Simon Pulse,"{'Jumeaux', 'Jumeaux'}"
352,One Thousand White Women: The Journals of May Dodd (One Thousand White Women  #1),Jim Fergus,3.88,312199430,9.78E+12,eng,434,100949,7615,2/15/1999,St. Martin's Griffin,{'Fiction'}
353,Shopaholic Takes Manhattan (Shopaholic  #2),Sophie Kinsella,3.76,440241812,9.78E+12,eng,387,100796,2382,12/27/2004,Dell Publishing Company,"{'Fiction', 'British', 'British'}"
354,Dead Witch Walking (The Hollows  #1),Kim Harrison,4.04,60572965,9.78E+12,en-US,416,99076,4091,07/01/04,HarperTorch,"{'Vampires', 'Fiction', 'Vampires'}"
355,The Twits,Roald Dahl/Quentin Blake,3.96,141318309,9.78E+12,eng,96,98823,2552,6/24/2004,Puffin Books,"{'Tricksters', 'Animals', 'Revenge', 'Treatment'}"
356,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),L.M. Montgomery,4.43,553609416,76783609419,eng,2088,98611,1447,10/06/98,Starfire,
357,House of Leaves,Mark Z. Danielewski,4.1,038560310X,9.78E+12,eng,705,97710,7357,03/07/00,Random House,{}
358,Daughter of Fortune,Isabel Allende/Margaret Sayers Peden,3.91,61120251,9.78E+12,eng,432,97539,2733,05/02/06,Harper Perennial,"{'Fiction', 'Or', 'Roman', 'Or', 'California', 'Novela'}"
359,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,9.78E+12,eng,331,97494,2359,7/15/1987,Ace Books,{}
360,The Partner,John Grisham,3.92,385339100,9.78E+12,eng,416,97474,1928,4/26/2005,Delta,"{'Larceny', 'Untreue', 'Robbery', 'Kidnapping', 'Literature', 'Hurto'}"
361,The Eyre Affair (Thursday Next  #1),Jasper Fforde,3.91,142001805,9.78E+12,eng,374,97343,8068,2/25/2003,Penguin Books,{'Censorship'}
362,Aesop's Fables,Aesop/Laura Harris/Laura Gibbs,4.05,192840509,9.78E+12,eng,306,97136,947,04/10/03,Oxford University Press,{'Fables'}
363,Alexander Hamilton,Ron Chernow,4.23,143034758,9.78E+12,eng,818,97099,6149,3/29/2005,Penguin Books,"{'General', 'Biographies', 'Statesmen', 'Biography', 'General', 'Statesmen', 'Nonfiction', 'General'}"
364,Skeleton Crew,Stephen King,3.96,751504386,9.78E+12,eng,612,97092,1186,5/13/1993,Warner Books,"{'snipers', 'Prohibition', 'snipers', 'diaries', 'arsenic', 'CIA', 'thunderstorms', 'islands', 'wormholes', 'Prohibition', 'anaesthesia', 'Fiction', 'insanity', 'supermarkets', 'prophecies', 'snipers', 'horror', 'magic'}"
365,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,3.9,785263705,9.78E+12,eng,243,96614,3718,7/15/2003,Thomas Nelson,{}
366,Cannery Row,John Steinbeck,4.04,014200068X,9.78E+12,eng,181,96408,3909,02/05/02,Penguin Books,{'Fiction'}
367,Tell No One,Harlan Coben,4.11,440236703,9.78E+12,eng,370,95220,4017,8/25/2009,Dell Publishing Company,"{'Secrecy', 'Murder', 'Secrecy', 'Secrecy'}"
368,To the Nines (Stephanie Plum  #9),Janet Evanovich,4.17,747267634,9.78E+12,eng,320,94990,1581,06/05/04,St. Martin's Press,{'Fiction'}
369,Shopaholic Ties the Knot (Shopaholic  #3),Sophie Kinsella,3.78,440241898,9.78E+12,eng,407,94917,2089,8/31/2004,Dell Publishing Company,"{'Shopping', 'Romance'}"
370,The Long Walk,Richard Bachman/Stephen King,4.11,451196716,9.78E+12,eng,370,94303,4453,04/01/99,Signet,"{'Walking', 'Fiction', 'Fiction', 'Horror', 'Survival', 'Contests', 'Horror'}"
371,The Idiot,Fyodor Dostoyevsky/Anna Brailovsky/Joseph Frank/Constance Garnett/Alan Myers,4.18,679642420,9.78E+12,eng,667,94133,2760,04/08/03,Modern Library,"{'Russia', 'German'}"
372,So Long  and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,4.09,330491237,9.78E+12,eng,167,93997,1394,03/08/02,Picador USA,{}
373,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,340837942,9.78E+12,eng,288,93782,2466,3/14/2005,Hodder & Stoughton,{}
374,Messenger (The Giver  #3),Lois Lowry,3.91,385732538,9.78E+12,eng,169,93589,6654,8/22/2006,Ember,"{'Healers', 'Fiction'}"
375,The Color of Water: A Black Man's Tribute to His White Mother,James   McBride,4.09,1573225789,9.78E+12,eng,291,92989,4663,1/14/2004,Riverhead Books,{'Family'}
376,Dubliners,James Joyce/Jeri Johnson/Thiên Lương,3.85,192839993,9.78E+12,eng,207,91755,3246,3/15/2001,Oxford University Press,"{'Literature', 'Masturbation', 'Kommentar', 'Fiction', 'piano', 'Halloween', 'concerts', 'alcoholism', 'Protestantism', 'Readers', 'Readers', 'fiction'}"
377,Eleven on Top (Stephanie Plum  #11),Janet Evanovich,4.16,312985347,9.78E+12,eng,321,91695,1731,6/20/2006,St. Martin's Press,"{'Fiction', 'mystery'}"
378,Dead Beat (The Dresden Files  #7),Jim Butcher,4.43,045146091X,9.78E+12,eng,517,91592,2747,01/01/06,Roc,{}
379,My Ántonia (Great Plains Trilogy  #3),Willa Cather,3.79,1583485090,9.78E+12,eng,232,91539,4662,2/20/2000,New Millennium Library,"{'Immigrants', 'Immigrants', 'Friendship', 'Literature', 'Friendship'}"
380,The Light Fantastic (Discworld  #2; Rincewind #2),Terry Pratchett,3.97,61020702,9.78E+12,eng,277,91479,2031,02/02/00,HarperTorch,{'Fiction'}
381,Inkspell (Inkworld  #2),Cornelia Funke/Anthea Bell,3.92,439554004,9.78E+12,eng,635,91475,3132,10/01/05,The Chicken House,"{'Authorship', 'Fiction', 'Fiction'}"
382,Moloka'i (Moloka'i #1),Alan Brennert,4.17,312304358,9.78E+12,eng,405,91395,8192,10/04/04,St. Martin's Griffin,{'Patients'}
383,A Dirty Job (Grim Reaper  #1),Christopher Moore,4.07,60590270,9.78E+12,en-US,387,90947,5477,3/21/2006,William Morrow,{'Hypochondria'}
384,The Street Lawyer,John Grisham,3.83,385339097,9.78E+12,eng,384,89947,1813,4/26/2005,Bantam,"{'Literature', 'Novela', 'Abogados'}"
385,Horton Hears a Who!,Dr. Seuss,4.18,679800034,9.78E+12,eng,64,89920,1207,10/10/90,Random House Books for Young Readers,"{'Primers', 'Fiction', 'Poetry', 'Fiction', 'Elephants'}"
386,The Testament,John Grisham/Jorma-Veikko Sappinen,3.86,440234743,9.78E+12,eng,535,89014,2361,12/28/1999,Island,"{'Discapacitados', 'Cases', 'Recluses', 'Missionarin', 'Recluses'}"
387,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,1585424331,9.78E+12,eng,320,88897,2334,09/01/05,Tarcherperigee,"{'Management', 'Salaries', 'Salaries', 'Management'}"
388,Prodigal Summer,Barbara Kingsolver,4,60959037,9.78E+12,eng,444,88241,5652,10/16/2001,Harper Perennial,"{'Hunters', 'Fiction', 'Hunters', 'Farmers'}"
389,Redwall (Redwall  #1),Brian Jacques,4.12,1862301387,9.78E+12,eng,352,88167,2604,09/04/06,Red Fox,"{'Mice', 'Fiction', 'Fiction', 'Courage', 'Fiction'}"
390,The Witching Hour (Lives of the Mayfair Witches  #1),Anne Rice,4.11,99471426,9.78E+12,eng,1207,87816,2577,11/04/04,Arrow,"{'psychics', 'Witchcraft', 'Brujería', 'Ficción', 'spirits'}"
391,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3.68,374292795,9.78E+12,eng,616,87570,2800,4/18/2006,Farrar  Straus and Giroux (NY),"{'Géopolitique', 'Géopolitique', 'Mondialisation', 'Globalisierung'}"
392,The Great Divorce,C.S. Lewis,4.28,6280560,9.79E+12,eng,160,87527,3867,02/01/02,HarperCollins,
393,The Birth of Venus,Sarah Dunant,3.81,812968972,9.78E+12,eng,427,87478,2908,11/30/2004,Random House,"{'Painters', 'Fiction'}"
394,Midnight's Children,Salman Rushdie,3.98,99578514,9.78E+12,eng,647,87463,4469,05/01/95,Vintage,"{'Jinn', 'Hinduism', 'Jinn', 'Fiction', 'Fiction'}"
395,The Aeneid,Virgil/Robert Fitzgerald,3.84,679729526,9.78E+12,eng,442,87406,1182,6/16/1990,Vintage,{}
396,We Were the Mulvaneys,Joyce Carol Oates,3.73,452282829,9.78E+12,eng,454,87367,2553,09/01/97,Plume,"{'Literature', 'Secrecy', 'Fiction', 'Secrecy', 'Families'}"
397,Mr. Maybe,Jane Green,3.45,767905202,9.78E+12,eng,368,87217,832,06/11/02,Broadway Books,"{'Literature', 'Literature'}"
398,The Pilgrim's Progress,John Bunyan,4,486426750,9.78E+12,eng,324,87175,1875,02/10/03,Dover Publications,"{'Bibliography', 'Puritans', 'Portraits', 'Clergy', 'Portraits', 'Portraits', 'Benga', 'Biography'}"
399,Vanishing Acts,Jodi Picoult,3.69,743454553,9.78E+12,eng,426,87109,3920,11/15/2005,Washington Square Press,"{'Memory', 'Fiction', 'Kidnapping', 'Kidnapping'}"
400,Winter's Heart (The Wheel of Time  #9),Robert Jordan,3.94,081257558X,9.78E+12,eng,780,86944,1442,01/07/02,Tor Fantasy,"{'Fiction', 'Secrets', 'Princesses'}"
401,Magic Bites (Kate Daniels  #1),Ilona Andrews,4.07,441014895,9.78E+12,eng,261,86675,5395,3/27/2007,Ace,{'Fantasy'}
402,This Present Darkness (Darkness  #1),Frank E. Peretti,4.22,1581345283,9.78E+12,eng,376,86548,1637,6/26/2003,Crossway Books,{}
403,The Divine Comedy,Dante Alighieri/Allen Mandelbaum/Eugenio Montale,4.07,679433139,9.78E+12,eng,798,86527,2004,08/01/95,Everyman's Library,"{'allegory', 'allegory', 'allegory', 'Paradise', 'allegory', 'allegory', 'Poetry', 'Hell', 'Paradise'}"
404,Animal  Vegetable  Miracle: A Year of Food Life,Barbara Kingsolver/Steven L. Hopp/Camille Kingsolver/Richard A. Houser,4.04,60852550,9.78E+12,eng,370,86290,9497,05/01/07,HarperCollins Publishers,"{'Alimentation', 'Gardening', 'Gardening'}"
405,Blankets,Craig Thompson,4.05,1891830430,9.78E+12,eng,592,86159,5727,8/18/2003,Top Shelf Productions,{}
406,Exodus,Leon Uris,4.34,553258478,9.78E+12,eng,608,85927,1520,10/01/86,Bantam Books  Inc.,"{'Fiction', 'Gründung', 'Fiction'}"
407,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,4.12,385495226,9.78E+12,eng,352,85408,4334,6/15/1999,Anchor Books,{}
408,Hoot,Carl Hiaasen,3.82,440421705,9.78E+12,eng,292,85404,3692,3/14/2006,Yearling Books,"{'Alligators', 'Friendship', 'Boys', 'Alligators', 'Fiction', 'Chouettes', 'Fiction'}"
409,Howl and Other Poems,Allen Ginsberg/William Carlos Williams,4.13,872863107,9.78E+12,eng,56,85143,1284,01/01/01,City Lights,{}
410,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,393324818,9.78E+12,eng,317,85094,4155,3/17/2004,W. W. Norton  Company,"{'Salaries', 'Baseball', 'Salaries'}"
411,The Once and Future King (The Once and Future King  #1-4),T.H. White,4.07,441627404,9.78E+12,eng,639,85082,2921,6/15/1987,Ace,"{'Fantasy', 'Historical', 'Adaptations', 'Chevaliers', 'Epic'}"
412,Children of the Mind (Ender's Saga  #4),Orson Scott Card,3.76,765304740,9.78E+12,eng,370,84877,1989,8/24/2002,Tor Books,{}
413,Dream Country (The Sandman  #3),Neil Gaiman/Kelley Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Erickson,4.24,156389226X,9.78E+12,eng,111,84421,1201,02/05/99,DC Comics,"{'Literature', 'Dreams', 'Literature'}"
414,Furies of Calderon (Codex Alera  #1),Jim Butcher,4.12,044101268X,9.78E+12,eng,504,84357,3322,6/28/2005,Ace,"{'Spies', 'Fiction', 'Succession'}"
415,Salem's Lot,Stephen King/Jerry N. Uelsmann,4.25,385516487,9.78E+12,eng,594,84123,571,11/01/05,Doubleday,"{'Fiction', 'arson', 'Puritans', 'witchcraft', 'crucifixes', 'runes', 'occult', 'vampires'}"
416,The Shell Seekers,Rosamunde Pilcher,4.15,051722285X,9.78E+12,eng,530,84085,2230,04/06/04,Gramercy Books,"{'Families', 'Painters', 'Painting', 'Fiction', 'Family'}"
417,Glass Houses (The Morganville Vampires  #1),Rachel Caine,3.92,451219945,9.78E+12,eng,239,83997,3992,10/03/06,NAL Jam,"{'Fiction', 'Fiction'}"
418,The Last Juror,John Grisham,3.87,385339682,9.78E+12,eng,278,72294,1755,4/25/2006,Delta,{}
419,Fantastic Mr. Fox,Roald Dahl/Quentin Blake,4.05,375822070,9.78E+12,eng,96,83723,2503,06/11/02,Knopf Books for Young Readers,"{'Interviews', 'Badgers', 'Agriculteurs', 'Tricksters', 'Hunger', 'Underground', 'Tricksters', 'Underground'}"
420,Small Gods (Discworld  #13),Terry Pratchett,4.29,552152978,9.78E+12,eng,400,83353,1758,08/01/05,Corgi,{}
421,Cryptonomicon,Neal Stephenson,4.25,60512806,9.78E+12,eng,1139,83184,4249,11/01/02,Avon,"{'Literature', 'Literature'}"
422,A Moveable Feast,Ernest Hemingway,4.04,99285045,9.78E+12,eng,192,82993,4808,09/06/12,Vintage,"{'Correspondance', 'France', 'Authors', 'Correspondance', 'Americans', 'Americans', 'Biography'}"
423,Band of Brothers: E Company  506th Regiment  101st Airborne from Normandy to Hitler's Eagle's Nest,Stephen E. Ambrose,4.43,743464117,9.78E+12,eng,432,82525,2124,09/01/02,Simon & Schuster; Media Tie-In edition,"{'HISTORY', 'Military', 'USA'}"
424,Twelve Sharp (Stephanie Plum  #12),Janet Evanovich,4.15,312349486,9.78E+12,eng,310,81381,1925,6/20/2006,St. Martin's Press,{}
425,Sideways Stories from Wayside School (Wayside School #1),Louis Sachar/Adam McCauley,4.15,747571775,9.78E+12,eng,144,81090,1835,1/19/2004,Bloomsbury Childrens Books,{}
426,Saving the World and Other Extreme Sports (Maximum Ride  #3),James Patterson,4.15,316155608,9.78E+12,eng,405,80643,2270,5/29/2007,Little  Brown and Company,"{'Skönlitteratur', 'General', 'Fiction', 'Teenagers', 'General', 'Teenagers'}"
427,Notes from a Small Island,Bill Bryson,3.91,380727501,9.78E+12,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,"{'England', 'England', 'Journeys'}"
428,A Room of One's Own,Virginia Woolf,4.14,141183535,9.78E+12,eng,112,80536,3436,01/01/00,Penguin Books,"{'Théorie', 'Femmes', 'History', 'Feminism', 'Literature', 'Mujeres', 'General', 'Theory', 'Peace'}"
429,After Dark,Haruki Murakami/Jay Rubin,3.7,307265838,9.78E+12,eng,191,80308,4506,05/08/07,Knopf Publishing Group,"{'Students', 'Modelos', 'Fiction', 'Sisters', 'Prostitutes'}"
430,The Art of Happiness,Dalai Lama XIV/Howard C. Cutler,4.16,1573221112,9.78E+12,eng,336,80161,2036,10/26/1998,Riverhead Hardcover,"{'Happiness', 'Felicidad', 'Spirituality', 'Spirituality', 'Buddhismus', 'Glück'}"
431,Bleak House,Charles Dickens/Nicola Bradbury/Hablot Knight Browne,4.01,143037617,9.78E+12,eng,1017,80104,2440,01/06/06,Penguin Books,{'Bildungsromans'}
432,The Farthest Shore (Earthsea Cycle  #3),Ursula K. Le Guin,4.12,141650964X,9.78E+12,eng,259,79809,1224,11/01/04,Gallery Books,{'Fiction'}
433,Bitten (Otherworld  #1),Kelley Armstrong,4.05,452286034,9.78E+12,eng,436,79710,3479,09/07/04,Plume Books,"{'Fiction', 'Fiction'}"
434,Brideshead Revisited,Evelyn Waugh,4,316926345,9.78E+12,eng,351,79045,3083,1/30/1982,Back Bay Books,"{'Family', 'Families', 'Catholics'}"
435,2nd Chance (Women's Murder Club  #2),James Patterson/Andrew Gross,4.04,446696633,9.78E+12,eng,400,78780,2118,5/20/2005,Grand Central Publishing,{'OverDrive'}
436,The Pilot's Wife,Anita Shreve,3.52,316601950,9.78E+12,eng,304,78714,3860,3/30/1999,Back Bay Books,"{'Veuves', 'Veuves', 'Accidents', 'Aéronautique'}"
437,Sputnik Sweetheart,Haruki Murakami/Philip Gabriel,3.83,99448475,9.78E+12,eng,229,78434,3464,10/03/02,Vintage,"{'Fiction', 'Teachers', 'Schriftstellerin', 'Novela', 'Maestros', 'Fiction'}"
438,The Origin of Species,Charles Darwin,3.98,785819118,9.78E+12,eng,703,78431,1355,05/01/04,Castle Books,"{'Évolution', 'Origin', 'Heredity'}"
439,Haunted,Chuck Palahniuk,3.59,1400032822,9.78E+12,eng,419,78280,3745,04/11/06,Anchor,"{'Fiction', 'Artistes', 'Prisoners'}"
440,Circus of the Damned (Anita Blake  Vampire Hunter  #3),Laurell K. Hamilton,4.17,425201392,9.78E+12,eng,320,78062,1121,01/02/07,Berkley,"{'Fiction', 'Fiction'}"
441,The Jungle Books,Rudyard Kipling/Alev Lytle Croutier,4.02,451529758,9.78E+12,eng,368,78036,692,05/03/05,Signet Classics,"{'Animals', 'Animals', 'Fiction'}"
442,In the Hand of the Goddess (Song of the Lioness  #2),Tamora Pierce,4.24,689878567,9.78E+12,eng,264,77540,1396,01/01/05,Simon Pulse,"{'Princes', 'Tortall'}"
443,The Heart Is a Lonely Hunter,Carson McCullers,3.98,618084746,9.78E+12,eng,359,77530,4685,09/08/00,Mariner Books,"{'Racism', 'Poor', 'Allegories', 'Literary'}"
444,Dry,Augusten Burroughs,4.03,312423799,9.78E+12,eng,293,77100,3112,04/01/04,Picador USA,"{'Alcoholics', 'Biography', 'Biography', 'Alcoholics'}"
445,Pygmalion,George Bernard Shaw,3.9,486282228,9.78E+12,eng,82,76944,1636,10/20/1994,Dover Publications,"{'Drama', 'Dictionaries'}"
446,The Richest Man in Babylon,George S. Clason,4.26,451205367,9.78E+12,eng,194,76451,3400,02/01/08,Berkley Books,{}
447,Meditations,Marcus Aurelius/Martin Hammond/Albert Wittstock/Diskin Clay,4.23,140449337,9.78E+12,eng,303,76332,3206,4/27/2006,Penguin Books,"{'Stoics', 'Stoics', 'Stoics', 'Life'}"
448,Influence: The Psychology of Persuasion,Robert B. Cialdini,4.19,006124189X,9.78E+12,eng,320,76314,2580,12/26/2006,Harper Business,"{'Compliance', 'Psychology', 'Beïnvloeding', 'Overreding', 'Psychology', 'Psychology'}"
449,Shopaholic and Sister (Shopaholic  #4),Sophie Kinsella,3.66,044024191X,9.78E+12,eng,388,76205,1867,11/28/2006,Dell Publishing Company,{'Sisters'}
450,The Brethren,John Grisham,3.73,385339674,9.78E+12,eng,384,76085,1505,12/27/2005,Delta,"{'Readers', 'Prisoners', 'Judges'}"
451,Size 12 Is Not Fat (Heather Wells  #1),Meg Cabot,3.74,60525118,9.78E+12,eng,345,75856,2408,12/27/2005,William Morrow Paperbacks,{'Fiction'}
452,Black and Blue,Anna Quindlen,3.88,385333137,9.78E+12,eng,288,75494,1386,8/25/2010,Delta Publishing,
453,The Communist Manifesto,Karl Marx/Friedrich Engels/Gareth Stedman Jones,3.55,140447571,9.78E+12,eng,288,75488,2716,6/27/2002,Penguin Classics,"{'Capitalism', 'Histoire', 'Biography', 'Economics', 'Histoire', 'Communism', 'Economics', 'Sources'}"
454,Native Son,Richard Wright,3.99,006083756X,9.78E+12,eng,504,75139,2987,08/02/05,Harper Perennial Modern Classics,"{'Bildungsromans', 'Criminals', 'Fiction', 'Murderers'}"
455,The Last of the Mohicans (The Leatherstocking Tales #2),James Fenimore Cooper,3.7,553213296,9.78E+12,eng,410,75121,1797,06/01/82,Bantam Classics,"{'Spanish', 'Ficción', 'Spanish', 'Indians', 'French', 'Roman', 'Adaptations', 'Indians', 'Histoire'}"
456,The Beach House,James Patterson/Peter de Jonge,3.84,446612545,9.78E+12,eng,356,74386,1674,05/01/03,Grand Central Publishing,"{'Brothers', 'OverDrive', 'Fiction'}"
457,Drowning Ruth,Christina Schwarz,3.74,345439104,9.78E+12,eng,368,74161,2159,7/31/2001,Ballantine Books,{'Fiction'}
458,Song of Solomon,Toni Morrison,4.06,140003342X,9.78E+12,eng,337,73894,2763,06/08/04,Vintage,"{'General', 'FICTION', 'Fiction', 'Fiction', 'Michigan', 'Fiction'}"
459,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,4.06,802132758,9.78E+12,eng,126,73863,1618,1/21/1994,Grove Press,{}
460,Ivanhoe,Walter Scott/Graham Tulloch,3.75,140436588,9.78E+12,eng,541,73757,1571,3/30/2000,Penguin Books /Penguin Classics,"{'Fiction', 'Normans', 'Crusades', 'Chivalry', 'Fiction'}"
461,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn/H.T. Willetts,3.95,374529523,9.78E+12,eng,182,73577,2521,3/16/2005,Farrar  Straus and Giroux,"{'Prisons', 'History', 'Communism', 'Prisons', 'History', 'History', 'History'}"
462,Wild Swans: Three Daughters of China,Jung Chang,4.26,743246985,9.78E+12,eng,562,73572,4280,08/12/03,Simon  Schuster,"{'History', 'Biography', 'Family', 'Women', 'Famille', 'Families'}"
463,Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist,4.17,553564943,9.78E+12,eng,485,73396,1367,01/01/94,Bantam Spectra,{}
464,The Tombs of Atuan (Earthsea Cycle  #2),Ursula K. Le Guin/Margot Paronis,4.09,689845367,9.78E+12,eng,180,73161,1922,09/01/01,Gallery / Saga Press,"{'Tombs', 'Fiction', 'Thieves', 'Wizards'}"
465,Everything's Eventual: 14 Dark Tales,Stephen King,3.97,1416524355,9.78E+12,eng,605,73145,1519,11/01/05,Pocket Books,"{'horror', 'horror', 'dementia', 'hitchhiking', 'snakes', 'seizures', 'depression', 'fishing', 'fiction', 'fantasy', 'horror', 'insurgency', 'ghosts'}"
466,Wyrd Sisters (Discworld  #6; Witches #2),Terry Pratchett,4.13,61020664,9.78E+12,eng,265,72785,1911,02/06/01,Hartorch,"{'MacBeth', 'satire', 'Witchcraft', 'satire', 'Witchcraft', 'Drama', 'Wizards', 'Occultism'}"
467,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,4.16,141001828,9.78E+12,eng,302,72656,4930,05/01/01,Penguin Books,"{'Survival', 'History', 'Nonfiction', 'History'}"
468,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78E+12,eng,335,72451,4245,5/15/2001,Broadway Books,"{'Civilization', 'Journeys', 'Travel'}"
469,Lioness Rampant (Song of the Lioness  #4),Tamora Pierce,4.28,689878575,9.78E+12,en-US,384,72386,1230,01/01/05,Simon Pulse,"{'Tortall', 'Fantasy'}"
470,The Broker,John Grisham,3.78,385340540,9.78E+12,eng,422,72361,2334,9/26/2006,Delta,{'Americans'}
471,The Island of Doctor Moreau,H.G. Wells,3.73,553214322,9.78E+12,eng,153,71933,2443,05/01/94,Bantam Classics,"{'Îles', 'Ethics', 'Islands', 'Islas', 'Science'}"
472,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,4.19,60885432,9.78E+12,eng,374,71853,646,01/01/07,HarperTrophy,{}
473,Notes from Underground  White Nights  The Dream of a Ridiculous Man  and Selections from The House of the Dead,Fyodor Dostoyevsky/Andrew R. MacAndrew/Ben Marcus,4.18,451529553,9.78E+12,eng,233,71824,1607,11/02/04,Signet,{}
474,Truman,David McCullough,4.12,671869205,9.78E+12,eng,1120,71764,1937,6/14/1993,Simon  Schuster,"{'Biografía', 'Présidents', 'Presidenten'}"
475,Hannibal (Hannibal Lecter  #3),Thomas  Harris,3.76,99297701,9.78E+12,eng,564,71712,2120,5/18/2000,Arrow,"{'sodomy', 'sodomy', 'Revenge', 'Literature', 'sodomy'}"
476,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9.78E+12,eng,433,71280,5494,09/12/06,Knopf,{'History'}
